"Package","Version"
"RSQLite","2.2.20"
"rstudioapi","0.14"
"rticles","0.24"
"rversions","2.1.2"
"rvest","1.0.3"
"s2","1.1.2"
"sass","0.4.5"
"satellite","1.0.4"
"scales","1.4.0"
"selectr","0.4-2"
"servr","0.25"
"sessioninfo","1.2.2"
"sf","1.0-9"
"sfheaders","0.4.0"
"sftime","0.2-0"
"shiny","1.7.4"
"sourcetools","0.1.7"
"sp","1.6-0"
"spacetime","1.2-8"
"spatialreg","1.2-6"
"spatstat","3.0-3"
"spatstat.data","3.0-0"
"spatstat.explore","3.0-6"
"spatstat.geom","3.0-6"
"spatstat.linnet","3.0-4"
"spatstat.model","3.1-2"
"spatstat.random","3.1-3"
"spatstat.sparse","3.0-0"
"spatstat.utils","3.0-1"
"spData","2.2.1"
"spdep","1.2-7"
"splancs","2.01-43"
"stars","0.6-0"
"stringi","1.7.12"
"stringr","1.5.0"
"svglite","2.1.1"
"sys","3.4.1"
"systemfonts","1.0.4"
"tensor","1.5"
"tensorflow","2.11.0"
"terra","1.7-3"
"testit","0.13"
"testthat","3.1.6"
"textshaping","0.3.6"
"tfautograph","0.3.2"
"tfdatasets","2.9.0"
"tfruns","1.5.1"
"tibble","3.3.1"
"tidync","0.3.0"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","1.3.2"
"timechange","0.2.0"
"tinytex","0.43"
"tmap","3.3-3"
"tmaptools","3.1-1"
"tufte","0.12"
"tzdb","0.3.0"
"units","0.8-1"
"urlchecker","1.0.1"
"usethis","2.1.6"
"utf8","1.2.3"
"uuid","1.1-0"
"vctrs","0.7.2"
"viridis","0.6.2"
"viridisLite","0.4.1"
"visNetwork","2.1.2"
"vroom","1.6.1"
"waldo","0.4.0"
"webshot","0.5.4"
"whisker","0.4.1"
"whoami","1.3.0"
"widgetframe","0.3.1"
"withr","2.5.0"
"wk","0.7.1"
"xaringan","0.28"
"xfun","0.37"
"XML","3.99-0.13"
"xml2","1.3.3"
"xopen","1.0.0"
"xtable","1.8-4"
"xts","0.12.2"
"yaml","2.3.7"
"zeallot","0.1.0"
"zip","2.2.2"
"zoo","1.8-11"
"base","4.2.2"
"boot","1.3-28"
"class","7.3-20"
"cluster","2.1.4"
"codetools","0.2-18"
"compiler","4.2.2"
"datasets","4.2.2"
"foreign","0.8-83"
"graphics","4.2.2"
"grDevices","4.2.2"
"grid","4.2.2"
"KernSmooth","2.23-20"
"lattice","0.20-45"
"MASS","7.3-58.1"
"Matrix","1.5-1"
"methods","4.2.2"
"mgcv","1.8-41"
"nlme","3.1-160"
"nnet","7.3-18"
"parallel","4.2.2"
"rpart","4.1.19"
"spatial","7.3-15"
"splines","4.2.2"
"stats","4.2.2"
"stats4","4.2.2"
"survival","3.4-0"
"tcltk","4.2.2"
"tools","4.2.2"
"utils","4.2.2"
